Name,Type,Category,Phone/Mobile,Email,Website Status,Website URL,Address/Location,Contact Status,Priority Tier,Size,Facebook,Instagram,LinkedIn,Notes,Source
Tusiime Schools,school,,+255 754 123456,info@tusiimeschools.ac.tz,No Website,,"Mlimani, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Feza Schools,school,,+255 713 456789,admin@fezaschools.ac.tz,No Website,,"Msasani, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Green Acres Academy,school,,+255 718 555123,info@greenacres.ac.tz,No Website,,"Oysterbay, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Safi Schools,school,,+255 755 999888,contact@safischools.ac.tz,No Website,,"Kinondoni, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Sunrise Schools,school,,+255 754 777666,info@sunriseschools.co.tz,No Website,,"Mbezi Beach, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Maarifa Islamic School,school,,+255 713 333444,maarifaislamic@gmail.com,No Website,,"Ilala, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Keland Schools,school,,+255 755 222333,kelandschool@gmail.com,No Website,,"Temeke, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
OASIS International School,school,,+255 718 444555,oasisschool@gmail.com,No Website,,"Masaki, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Masaka Schools,school,,+255 754 111222,masakaschool@gmail.com,No Website,,"Masaka, Kinondoni",Complete,Tier A,,,,,,Tanzania Database
Grace Schools,school,,+255 713 666777,graceschool@gmail.com,No Website,,"Buguruni, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Bunge Schools,school,,+255 755 888999,bungeprimary@gmail.com,No Website,,"Kigamboni, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Zabikha Schools,school,,+255 718 000111,zabikhaschool@gmail.com,No Website,,"Tabata, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Hekima Nursery School,school,,+255 718 811111,info@hekimaschool.ac.tz,No Website,,"Kigamboni, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Liku Schools,school,,+255 732 997694,likuschool@gmail.com,No Website,,"Mbezi Beach, Kinondoni",Complete,Tier A,,,,,,Tanzania Database
Mount Kibo Schools,school,,+255 713 253744,info@mountkiboschools.ac.tz,No Website,,"Tegeta, Kinondoni",Complete,Tier A,,,,,,Tanzania Database
St. Florence Academy,school,,+255 222 771599,admin@stflorence.ac.tz,No Website,,"Buguruni, Ilala",Complete,Tier A,,,,,,Tanzania Database
St. John Bosco School,school,,+255 752 668604,stjohnboscoschool@gmail.com,No Website,,"Ilala, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Kananura Schools TZ,school,,+255 755 789012,kananura.school@outlook.com,No Website,,"Kananura, Ubungo",Complete,Tier A,,,,,,Tanzania Database
Jaka Elite School,school,,+255 717 890123,jaka.elite@gmail.com,No Website,,"Jeka, Temeke",Complete,Tier A,,,,,,Tanzania Database
Stars Preparatory School,school,,+255 754 234567,stars.school@gmail.com,No Website,,"Stars Area, Ilala",Complete,Tier A,,,,,,Tanzania Database
MECEPP Preschool,school,,+255 713 678901,mecepp.school@gmail.com,No Website,,"Mecepp Area, Ubungo",Complete,Tier A,,,,,,Tanzania Database
St. Mary's International Academy,school,,+255 754 901234,stmarys.tabata@gmail.com,No Website,,"Tabata, Ilala",Complete,Tier A,,,,,,Tanzania Database
Royal Elite School,school,,+255 718 567890,royal.elite@gmail.com,No Website,,"Royal Road, Kinondoni",Complete,Tier A,,,,,,Tanzania Database
Nyamata Academy,school,,+255 754 901235,nyamata.academy@gmail.com,No Website,,"Nyamata, Temeke",Complete,Tier A,,,,,,Tanzania Database
Ilala Islamic Primary,school,,+255 713 123457,ilala.islamic@gmail.com,No Website,,"Ilala, Dar es Salaam",Complete,Tier A,,,,,,Tanzania Database
Moga Pre and Primary,school,,+255 717 345679,moga.school@gmail.com,No Website,,"Moga, Kinondoni",Complete,Tier A,,,,,,Tanzania Database
Atlas Madale Primary,school,,+255 754 901235,atlas.madale@gmail.com,No Website,,"Atlas, Temeke",Complete,Tier A,,,,,,Tanzania Database
Kulaya Language School,school,,+255 22 277 1961,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Alpha Secondary School,school,,+255 713 623 948,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Grace Nursery &amp; Primary School,school,,+255 22 215 0294,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Kwanza International School,school,,+255 22 2114903,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Laureate International School,school,,+255 22 212 0712,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
St. Ann`s Girls Secondary School,school,,+255 23 260 0930,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
French School,school,,+255 22 260 2056,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Good Samaritan Primary School,school,,+255 22 260 2970,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Green Acres International School,school,,+255 22 262 7729,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Indian School Dar Es Salaam,school,,+255 22 284 3768,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Mbezi Beach Secondary School,school,,+255 782 611 796,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Rainbow Primary School,school,,+255 22 262 7600,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Seifi School Centre,school,,+255 22 265 0452,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Shaaban Robert Secondary School,school,,+255 22 244 8602,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
Loyola High School,school,,+255 784 322 205,,No Website,,,Phone Only,Tier B,,,,,,Tanzapages
